entry_hour;duration_label;total_trades;total_pnl_usd;avg_pnl_usd;win_rate;avg_win;avg_loss;avg_mae;avg_mfe;sharpe_ratio
0;120min (2h);52;4060,0;-208,81;66,67;540,04;-743,96;-1147,74;887,61;-1,43
0;15min;52;1095,0;-74,24;67,7;189,58;-310,52;-449,96;381,49;-0,09
0;180min (3h);52;19410,0;84,78;48,33;645,85;-566,61;-1271,49;1035,68;-4,38
0;1min;52;1090,0;2,59;47,69;86,01;-90,29;-147,42;122,27;0,11
0;240min (4h);52;26040,0;145,9;43,06;761,88;-597,67;-1322,61;1175,06;-0,74
0;300min (5h);52;-3255,0;-332,25;29,96;365,21;-661,46;-1615,76;1203,74;-6,48
0;360min (6h);52;25,0;-375,47;38,89;483,39;-828,72;-1663,88;1254,85;-4,82
0;480min (8h);52;7565,0;-377,9;37,5;682,39;-1060,3;-1813,95;1580,34;-4,35
0;5min;52;2070,0;-19,61;47,86;177,52;-172,46;-240,97;232,25;0,14
0;60min (1h);52;15140,0;123,82;62,22;446,38;-320,99;-717,67;764,43;-1,56
0;EOD;52;-224785,0;-2747,86;50,0;1849,03;-4596,89;-7309,73;5201,52;-24,74
1;120min (2h);321;53780,0;-116,25;46,81;452,92;-504,46;-977,88;845,47;0,09
1;15min;321;9435,0;-107,98;31,42;209,76;-299,5;-397,34;306,58;-0,69
1;180min (3h);321;37960,0;-73,91;46,68;462,58;-524,38;-1098,39;1018,05;0,51
1;1min;321;2095,0;-10,75;40,45;84,64;-87,63;-157,94;118,26;-0,05
1;240min (4h);321;38495,0;73,89;50,34;663,34;-543,97;-1255,66;1265,67;1,79
1;300min (5h);321;57145,0;202,66;47,94;645,64;-448,06;-1387,61;1390,3;2,06
1;360min (6h);321;77880,0;314,85;51,62;839,92;-513,62;-1467,88;1674,6;3,6
1;480min (8h);321;79935,0;575,33;53,45;1126,29;-522,26;-1599,28;2075,9;-3,3
1;5min;321;6750,0;-58,45;34,82;156,41;-198,45;-264,96;203,79;-0,41
1;60min (1h);321;79765,0;-77,36;39,91;386,43;-483,75;-795,62;672,97;0,79
1;EOD;321;-1010615,0;-1757,48;37,82;2037,78;-3476,84;-6016,0;4711,69;-3,27
2;120min (2h);297;-236595,0;-489,71;34,78;279,19;-847,58;-1167,27;661,52;-0,95
2;15min;297;-7320,0;-111,27;30,09;236,43;-326,52;-494,17;322,94;-0,35
2;180min (3h);297;-411230,0;-844,95;35,59;291,96;-1205,77;-1614,67;749,77;-0,82
2;1min;297;80,0;-34,32;37,12;119,96;-130,3;-225,38;128,93;-0,07
2;240min (4h);297;-496090,0;-1053,99;35,54;235,59;-1373,84;-1928,09;780,68;-1,75
2;300min (5h);297;-575140,0;-1239,4;35,74;289,68;-1619,62;-2155,98;827,63;-1,78
2;360min (6h);297;-593410,0;-1286,58;30,32;375,58;-1736,62;-2421,65;868,07;-1,23
2;480min (8h);297;-682455,0;-1709,2;25,37;458,94;-2327,18;-3053,9;1039,52;-4,85
2;5min;297;-4860,0;-91,87;30,79;163,93;-243,23;-352,77;217,07;-0,44
2;60min (1h);297;-26395,0;-120,24;45,41;358,75;-564,78;-774,34;530,21;-0,38
2;EOD;297;-1044690,0;-1854,46;57,3;2256,42;-4550,32;-7036,6;4162,39;3,31
3;120min (2h);200;-7050,0;60,72;56,5;553,86;-722,9;-975,4;1002,34;0,0
3;15min;200;26390,0;-43,83;38,25;201,02;-291,94;-370,84;281,61;-0,39
3;180min (3h);200;-40595,0;128,44;54,3;750,43;-874,02;-1144,96;1314,66;1,16
3;1min;200;1370,0;-34,37;35,64;78,61;-103,84;-167,47;100,36;-0,11
3;240min (4h);200;39320,0;560,27;50,9;1241,36;-960,42;-1273,34;1714,83;3,99
3;300min (5h);200;58115,0;671,89;60,47;1389,45;-936,46;-1410,32;1983,29;2,55
3;360min (6h);200;37115,0;744,94;62,31;1570,43;-1089,47;-1499,21;2237,24;3,57
3;480min (8h);200;93120,0;1107,69;77,5;1848,71;-848,84;-1614,17;2795,59;18,64
3;5min;200;2075,0;-73,26;32,99;143,31;-192,47;-269,31;179,36;-0,29
3;60min (1h);200;47725,0;87,52;53,18;442,01;-509,66;-606,31;572,6;0,39
3;EOD;200;356570,0;1139,01;55,83;2840,17;-2284,68;-4264,65;5722,94;-4,34
4;120min (2h);221;144730,0;261,71;52,93;629,64;-451,39;-860,47;1234,07;0,02
4;15min;221;18960,0;-89,66;41,21;173,35;-289,73;-421,75;288,51;-0,96
4;180min (3h);221;201865,0;673,42;65,83;1062,05;-418,7;-943,46;1627,7;1,81
4;1min;221;-760,0;-31,03;41,78;100,09;-120,63;-168,5;110,05;-0,21
4;240min (4h);221;124340,0;496,46;53,16;1065,65;-626,86;-1095,54;1810,78;1,91
4;300min (5h);221;106270,0;658,04;48,65;1415,8;-671,61;-1323,27;2116,97;0,95
4;360min (6h);221;32075,0;333,92;43,68;1429,17;-989,77;-1596,07;2302,6;0,08
4;480min (8h);221;-54495,0;548,1;49,63;2056,11;-1290,38;-2152,35;2854,75;3,67
4;5min;221;1640,0;-85,62;33,74;98,46;-199,57;-264,75;179,04;-0,68
4;60min (1h);221;63020,0;-70,89;34,43;358,4;-474,12;-784,82;661,23;-0,16
4;EOD;221;-155065,0;-2634,63;42,67;3764,76;-4730,91;-6717,31;5585,97;-14,12
5;120min (2h);217;28460,0;-64,76;39,74;567,78;-788,83;-1033,76;1158,37;2,93
5;15min;217;12835,0;-53,96;41,27;369,07;-427,51;-530,44;456,57;0,99
5;180min (3h);217;139090,0;444,62;58,89;1170,43;-714,72;-1154,64;1518,79;2,45
5;1min;217;80,0;-30,39;30,81;88,08;-119,51;-196,93;131,54;-0,24
5;240min (4h);217;100245,0;605,52;56,37;1347,09;-820,22;-1226,95;1988,42;2,84
5;300min (5h);217;84430,0;640,48;53,68;1566,52;-837,17;-1393,8;2188,76;4,15
5;360min (6h);217;114830,0;517,92;49,44;1613,99;-939,14;-1574,94;2404,21;2,75
5;480min (8h);217;169855,0;639,81;55,93;1788,41;-1011,64;-1868,84;2895,79;-0,83
5;5min;217;2770,0;-66,46;29,57;227,2;-279,47;-328,44;264,95;-0,21
5;60min (1h);217;-4645,0;-16,29;48,68;501,12;-622,75;-781,19;806,17;1,53
5;EOD;217;-141070,0;-2088,64;30,24;1765,32;-3440,03;-5751,67;4663,23;-76,99
6;120min (2h);312;-51535,0;-111,14;50,65;599,45;-663,12;-1156,1;969,96;0,04
6;15min;312;-14130,0;-48,04;40,59;340,44;-287,0;-436,54;417,89;0,04
6;180min (3h);312;-12170,0;102,58;52,52;794,09;-710,58;-1316,0;1228,01;0,57
6;1min;312;2200,0;-4,67;48,3;111,84;-119,09;-178,29;142,09;0,06
6;240min (4h);312;79315,0;349,91;62,64;1115,2;-942,82;-1378,8;1538,55;2,16
6;300min (5h);312;-82635,0;50,7;56,21;1250,46;-1371,88;-1652,43;1868,95;0,96
6;360min (6h);312;-39800,0;35,16;55,0;1419,0;-1417,4;-2006,55;1955,35;1,09
6;480min (8h);312;-251520,0;-513,94;54,06;1536,35;-1980,33;-2683,07;2257,98;-0,79
6;5min;312;5720,0;5,98;46,79;241,04;-212,68;-269,8;264,86;0,08
6;60min (1h);312;-60920,0;-64,46;49,72;418,15;-495,14;-786,35;755,94;-0,2
6;EOD;312;-178960,0;-362,14;55,51;2439,64;-2746,39;-5667,1;4104,48;0,23
7;120min (2h);251;109890,0;196,83;56,13;612,75;-487,12;-1151,12;1018,21;-2,13
7;15min;251;-10515,0;-186,09;27,16;186,67;-356,6;-516,84;282,37;-2,06
7;180min (3h);251;104400,0;7,59;54,09;703,68;-760,2;-1385,67;1284,77;4,57
7;1min;251;-2450,0;-38,94;37,0;68,78;-110,54;-215,61;119,45;-0,28
7;240min (4h);251;182040,0;188,07;60,62;1119,45;-987,2;-1594,75;1642,94;2,84
7;300min (5h);251;233740,0;340,88;58,68;1302,33;-1084,28;-1730,55;1909,6;4,96
7;360min (6h);251;181705,0;86,43;58,09;1115,05;-1353,34;-1977,66;2075,4;-43,8
7;480min (8h);251;297380,0;312,54;57,5;1481,01;-1532,11;-2377,22;2716,45;3,32
7;5min;251;370,0;-81,23;25,32;142,01;-212,6;-351,38;194,97;-1,87
7;60min (1h);251;-600,0;-196,48;39,84;376,93;-508,82;-870,39;594,89;-7,38
7;EOD;251;270955,0;1266,69;53,27;3021,37;-1989,28;-4662,97;5593,14;170,58
8;120min (2h);314;-50790,0;-279,77;37,47;529,99;-1150,15;-1386,42;1048,65;1,65
8;15min;314;-22745,0;-127,3;39,41;273,02;-407,42;-518,64;362,55;-0,4
8;180min (3h);314;-62755,0;-235,84;43,51;596,29;-1101,89;-1601,34;1291,23;-2,04
8;1min;314;650,0;-12,04;44,8;113,47;-111,61;-183,69;131,65;-0,1
8;240min (4h);314;33605,0;64,54;55,67;809,74;-1236,81;-1680,12;1500,3;-0,46
8;300min (5h);314;-163425,0;-315,03;43,5;757,85;-1379,54;-1987,42;1810,76;-0,92
8;360min (6h);314;-282750,0;-626,58;37,59;932,68;-1707,61;-2419,75;1934,19;-0,95
8;480min (8h);314;-273130,0;87,91;42,99;2158,53;-1852,83;-3608,81;3283,53;1,43
8;5min;314;-420,0;-59,62;36,78;199,49;-223,24;-300,77;229,12;-0,35
8;60min (1h);314;-580,0;-194,71;32,65;423,41;-784,81;-941,8;680,8;-0,96
8;EOD;314;-568870,0;1385,34;45,46;4964,93;-3932,61;-5687,0;6111,14;319,33
9;120min (2h);464;-228420,0;-212,4;42,5;664,84;-899,43;-1274,44;923,6;1,26
9;15min;464;-31850,0;-177,09;32,48;220,9;-404,74;-532,12;319,59;-0,81
9;180min (3h);464;-120465,0;-130,56;42,95;698,29;-1047,77;-1415,19;1137,53;-0,76
9;1min;464;-6660,0;-28,14;42,78;113,01;-138,6;-187,31;138,03;-0,17
9;240min (4h);464;-266095,0;-238,5;46,56;887,25;-1312,94;-1753,19;1320,28;5,24
9;300min (5h);464;-159710,0;-161,52;45,47;903,31;-1362,99;-1991,99;1475,6;0,09
9;360min (6h);464;15410,0;197,51;55,19;1183,46;-1252,59;-2182,24;2158,1;-1,13
9;480min (8h);464;-49460,0;353,07;47,67;2068,19;-2198,84;-3203,76;3650,82;-1,23
9;5min;464;-17225,0;-100,03;33,08;158,09;-262,11;-314,44;217,3;-0,56
9;60min (1h);464;-138130,0;-193,56;39,79;449,42;-686,76;-960,46;594,99;-0,63
9;EOD;464;105130,0;776,97;56,13;3392,81;-3523,73;-4025,77;5299,79;7,04
10;120min (2h);721;46540,0;-9,32;51,06;512,96;-738,39;-881,07;925,53;0,13
10;15min;721;66010,0;-13,16;45,47;275,98;-286,62;-383,41;340,77;-0,52
10;180min (3h);721;231580,0;285,05;65,48;999,35;-838,76;-1102,65;1301,29;2,05
10;1min;721;2230,0;-17,22;41,02;94,61;-98,68;-161,95;115,67;-0,06
10;240min (4h);721;71675,0;276,55;59,04;1080,65;-981,1;-1339,83;1680,86;2,0
10;300min (5h);721;18805,0;32,96;49,75;1196,49;-1380,17;-1731,23;2049,27;11,85
10;360min (6h);721;134065,0;185,0;54,58;1826,22;-1955,97;-2609,51;2916,98;2,15
10;480min (8h);721;608880,0;152,94;50,11;2591,59;-2636,34;-3397,31;3971,71;-2,11
10;5min;721;14115,0;-41,1;38,0;178,86;-206,94;-263,54;203,54;-0,89
10;60min (1h);721;4135,0;-29,81;48,49;382,24;-528,04;-618,53;669,99;0,65
10;EOD;721;1243460,0;672,08;54,47;3191,7;-2635,82;-4054,53;4921,91;1,12
11;120min (2h);395;39755,0;-284,05;41,34;543,64;-961,25;-1224,56;881,23;-3,24
11;15min;395;-28525,0;-161,36;27,28;226,74;-382,81;-439,79;279,27;-3,09
11;180min (3h);395;50600,0;-228,71;40,92;934,95;-1396,54;-1577,3;1240,56;-3,82
11;1min;395;665,0;-38,94;39,6;77,1;-117,24;-173,25;98,79;-0,23
11;240min (4h);395;-705,0;-402,41;43,98;1151,76;-1765,93;-2064,0;1568,45;-3,42
11;300min (5h);395;149600,0;-267,09;53,95;1589,35;-2346,45;-3018,88;2502,79;-0,27
11;360min (6h);395;-79925,0;-882,41;49,93;1838,65;-3183,87;-3923,26;3340,72;-10,29
11;480min (8h);395;-298735,0;-1216,01;45,08;2587,01;-4023,82;-4857,89;3860,62;-0,97
11;5min;395;-9325,0;-80,82;32,29;132,48;-235,48;-282,99;177,88;-1,16
11;60min (1h);395;-134465,0;-202,03;40,02;423,66;-618,12;-795,45;575,49;-1,47
11;EOD;395;-191725,0;-696,67;42,1;3384,28;-4297,44;-5450,03;4530,69;-7,58
12;120min (2h);310;48070,0;-299,64;43,12;895,33;-1611,46;-1690,13;1316,43;-15,34
12;15min;310;23810,0;-85,39;37,86;234,1;-405,14;-492,18;352,64;-0,57
12;180min (3h);310;83940,0;34,39;56,93;1369,5;-1902,68;-2232,36;1882,82;-1,05
12;1min;310;1925,0;-22,22;45,43;80,98;-118,09;-185,12;135,28;-0,51
12;240min (4h);310;-122305,0;596,02;58,92;2336,78;-2418,09;-2676,1;3549,73;0,77
12;300min (5h);310;-418980,0;389,96;53,47;2793,69;-2971,57;-3345,18;4288,69;-24,28
12;360min (6h);310;-493880,0;-69,11;45,21;3450,21;-4276,34;-4087,28;4787,6;-2,3
12;480min (8h);310;-478580,0;-194,23;44,97;4085,72;-4952,22;-4761,86;5261,96;-3,47
12;5min;310;4070,0;-81,96;28,61;148,26;-242,55;-315,35;223,26;-1,31
12;60min (1h);310;-92470,0;-291,73;34,95;481,59;-980,08;-1120,07;825,26;-1,23
12;EOD;310;-344460,0;-0,96;43,73;4172,25;-4675,1;-5214,85;5486,75;-20,63
13;120min (2h);615;-36375,0;-297,88;45,56;927,09;-1338,92;-1534,17;1363,44;-0,16
13;15min;615;38365,0;-30,65;45,06;346,37;-393,07;-492,28;430,91;-0,07
13;180min (3h);615;54690,0;-462,38;45,11;1612,66;-1850,34;-2962,09;2200,87;0,43
13;1min;615;305,0;-18,05;43,21;105,21;-124,65;-194,0;140,24;-0,11
13;240min (4h);615;-221095,0;-755,86;46,93;2150,25;-2576,24;-3717,98;2625,51;0,86
13;300min (5h);615;-237185,0;-844,26;54,67;2600,95;-3205,08;-4280,93;2960,08;1,94
13;360min (6h);615;59190,0;-580,33;50,57;2768,31;-3155,51;-4500,63;3296,35;2,62
13;480min (8h);615;42715,0;-567,72;51,72;2955,94;-3170,86;-4755,19;3818,27;1,01
13;5min;615;10520,0;-40,47;42,38;221,45;-265,73;-315,66;257,27;-0,1
13;60min (1h);615;104830,0;25,89;48,28;636,45;-636,45;-855,08;932,27;0,1
13;EOD;615;-53060,0;-889,02;50,45;2777,06;-3405,28;-4886,14;4035,64;0,33
14;120min (2h);540;-215360,0;-501,5;42,24;1500,16;-1983,58;-2597,43;2103,39;17,68
14;15min;540;-99590,0;-159,18;34,01;249,74;-383,98;-583,72;413,54;-0,37
14;180min (3h);540;-198240,0;-512,66;41,38;1970,97;-2454,13;-3369,06;2458,92;-0,69
14;1min;540;-6965,0;-21,94;45,33;107,25;-128,41;-227,74;146,19;-0,13
14;240min (4h);540;-220205,0;-727,93;45,11;2479,01;-3059,67;-4013,95;2767,05;14,31
14;300min (5h);540;-130040,0;-672,55;48,1;2710,23;-3162,56;-4393,22;3025,99;1,19
14;360min (6h);540;131175,0;-469,82;49,19;3091,64;-3197,81;-4622,84;3301,24;5,19
14;480min (8h);540;-191810,0;-781,77;47,14;3008,59;-3379,69;-4871,65;3629,65;27,67
14;5min;540;-30575,0;-93,49;40,9;196,54;-299,63;-376,54;262,14;-2,64
14;60min (1h);540;-119630,0;25,33;43,59;954,48;-831,15;-1217,43;1130,13;0,65
14;EOD;540;-260530,0;-961,58;46,78;3065,69;-3590,74;-4914,04;3633,78;-13,12
15;120min (2h);1180;392520,0;-110,22;48,92;1654,67;-2426,78;-2481,68;2167,94;-0,09
15;15min;1180;57245,0;-60,02;43,35;726,6;-781,23;-976,82;816,91;-0,34
15;180min (3h);1180;49700,0;-429,18;47,1;2036,77;-2998,36;-2997,42;2491,09;-0,83
15;1min;1180;-3890,0;-25,85;45,67;229,9;-233,54;-387,97;272,84;-0,08
15;240min (4h);1180;66935,0;-415,18;50,32;2299,48;-3142,0;-3274,77;2807,66;-1,26
15;300min (5h);1180;-212655,0;-681,5;50,08;2497,22;-3606,34;-3577,83;2985,6;-1,51
15;360min (6h);1180;-328730,0;-739,36;48,91;2553,69;-3614,11;-3801,63;3083,88;-1,0
15;480min (8h);1180;-400335,0;-910,32;47,39;2571,36;-3835,78;-4089,71;3148,39;-3,53
15;5min;1180;18670,0;-66,05;44,09;456,38;-528,69;-632,04;509,82;-0,2
15;60min (1h);1180;383375,0;156,76;54,33;1251,17;-1602,53;-1626,26;1630,9;0,39
15;EOD;1180;-397190,0;-901,84;47,23;2573,21;-3819,1;-4089,71;3148,39;-3,38
16;120min (2h);1782;-96770,0;5,73;50,67;1756,93;-2045,41;-2210,99;2166,68;0,58
16;15min;1782;82600,0;13,53;49,26;664,86;-635,51;-821,78;778,81;-0,1
16;180min (3h);1782;-91470,0;126,63;55,51;2028,84;-2271,56;-2525,33;2469,91;1,18
16;1min;1782;-5005,0;-5,93;47,14;203,86;-204,53;-330,1;276,09;-0,09
16;240min (4h);1782;-116670,0;79,6;58,43;2333,69;-2671,69;-2839,31;2769,47;1,29
16;300min (5h);1782;-55160,0;106,55;56,0;2492,93;-2788,66;-3002,0;2952,96;-1,35
16;360min (6h);1782;-253270,0;100,48;52,39;2491,75;-2656,62;-3142,34;3145,75;0,84
16;480min (8h);1782;-67330,0;217,15;53,84;2571,88;-2669,28;-3162,48;3211,43;1,07
16;5min;1782;10960,0;-0,26;45,54;471,31;-425,7;-542,26;494,69;-0,11
16;60min (1h);1782;230270,0;160,45;54,73;1411,65;-1345,62;-1575,09;1615,76;0,42
16;EOD;1782;-67330,0;217,15;53,84;2571,88;-2669,28;-3162,48;3211,43;1,07
17;120min (2h);1734;970440,0;382,57;59,71;1391,49;-1449,83;-1509,11;1948,12;0,87
17;15min;1734;312515,0;25,02;47,66;569,62;-619,64;-716,79;688,19;-0,13
17;180min (3h);1734;1128835,0;482,97;60,0;1701,62;-1737,41;-1815,93;2312,98;1,03
17;1min;1734;23535,0;-1,77;47,98;170,48;-184,8;-274,47;232,12;-0,05
17;240min (4h);1734;1056065,0;425,75;57,27;1769,98;-1659,68;-2049,38;2508,56;0,97
17;300min (5h);1734;858000,0;304,83;49,51;1729,53;-1695,07;-2203,94;2729,5;0,7
17;360min (6h);1734;966985,0;336,86;50,59;1824,69;-1740,48;-2261,42;2826,05;0,49
17;480min (8h);1734;955640,0;326,87;50,88;1809,77;-1746,22;-2261,42;2826,05;0,47
17;5min;1734;111360,0;-4,34;47,38;341,66;-384,1;-453,34;417,84;-0,14
17;60min (1h);1734;923590,0;358,27;59,08;1104,23;-927,51;-1171,15;1439,76;0,46
17;EOD;1734;955640,0;326,87;50,88;1809,77;-1746,22;-2261,42;2826,05;0,47
18;120min (2h);1241;734880,0;446,25;59,75;1241,54;-1161,77;-1437,8;1740,33;1,38
18;15min;1241;78515,0;3,78;43,43;548,56;-571,64;-674,43;637,26;-0,51
18;180min (3h);1241;714545,0;476,12;60,29;1343,08;-1282,24;-1714,11;2062,01;3,71
18;1min;1241;3375,0;-13,46;45,55;157,4;-172,7;-262,46;202,46;-0,13
18;240min (4h);1241;784350,0;495,1;57,48;1558,76;-1488,3;-1936,43;2362,51;1,84
18;300min (5h);1241;848525,0;525,31;58,47;1624,77;-1682,76;-1981,12;2466,92;1,87
18;360min (6h);1241;851450,0;525,05;58,47;1620,93;-1677,79;-1981,12;2466,92;2,11
18;480min (8h);1241;851450,0;525,05;58,47;1620,93;-1677,79;-1981,12;2466,92;2,11
18;5min;1241;36830,0;-29,41;42,46;323,7;-354,45;-428,69;373,72;-0,42
18;60min (1h);1241;-8285,0;-9,27;53,27;765,79;-987,28;-1227,69;1126,63;0,06
18;EOD;1241;851450,0;525,05;58,47;1620,93;-1677,79;-1981,12;2466,92;2,11
19;120min (2h);1151;-607355,0;-497,15;37,61;751,08;-1540,3;-1723,0;1274,67;-0,97
19;15min;1151;-87420,0;-144,24;39,48;370,12;-550,71;-700,61;502,83;-0,38
19;180min (3h);1151;-599505,0;-547,29;41,2;983,33;-1860,19;-2215,56;1573,49;-2,13
19;1min;1151;-2675,0;-25,95;44,47;146,37;-173,99;-262,35;198,97;-0,15
19;240min (4h);1151;-465030,0;-446,2;43,34;1214,47;-2017,1;-2270,16;1699,35;-1,88
19;300min (5h);1151;-458655,0;-444,63;41,44;1210,48;-2010,77;-2270,16;1699,35;-1,93
19;360min (6h);1151;-458655,0;-444,63;41,44;1210,48;-2010,77;-2270,16;1699,35;-1,93
19;480min (8h);1151;-458655,0;-444,63;41,44;1210,48;-2010,77;-2270,16;1699,35;-1,93
19;5min;1151;-31495,0;-80,51;39,45;269,75;-349,78;-440,2;325,95;-0,43
19;60min (1h);1151;-454645,0;-311,01;42,43;699,21;-1167,87;-1299,12;890,74;0,13
19;EOD;1151;-458655,0;-444,63;41,44;1210,48;-2010,77;-2270,16;1699,35;-1,93
20;120min (2h);1068;-329655,0;-303,8;39,08;991,47;-1545,46;-1683,55;1375,67;-1,35
20;15min;1068;-66170,0;-177,37;35,5;335,85;-517,01;-666,44;458,62;-1,11
20;180min (3h);1068;-146615,0;-155,68;40,6;1134,85;-1652,49;-1728,87;1477,89;-2,09
20;1min;1068;-4280,0;-24,62;43,05;132,09;-160,52;-246,43;179,81;-0,15
20;240min (4h);1068;-144805,0;-157,55;40,14;1128,93;-1649,33;-1728,87;1477,89;-2,07
20;300min (5h);1068;-144805,0;-157,55;40,14;1128,93;-1649,33;-1728,87;1477,89;-2,07
20;360min (6h);1068;-144805,0;-157,55;40,14;1128,93;-1649,33;-1728,87;1477,89;-2,07
20;480min (8h);1068;-144805,0;-157,55;40,14;1128,93;-1649,33;-1728,87;1477,89;-2,07
20;5min;1068;-13260,0;-65,11;38,9;238,76;-306,73;-406,85;311,14;-0,29
20;60min (1h);1068;-242825,0;-266,65;37,71;590,68;-989,31;-1195,24;890,16;-0,54
20;EOD;1068;-144805,0;-157,55;40,14;1128,93;-1649,33;-1728,87;1477,89;-2,07
21;120min (2h);939;812545,0;254,5;45,56;821,75;-987,66;-956,09;1117,45;-0,45
21;15min;939;196370,0;-27,15;42,81;388,19;-449,84;-654,24;541,49;-0,82
21;180min (3h);939;809075,0;260,49;45,85;814,66;-978,32;-958,08;1117,45;-0,48
21;1min;939;6295,0;-26,74;39,04;139,01;-160,09;-282,99;193,62;-0,3
21;240min (4h);939;809075,0;260,49;45,85;814,66;-978,32;-958,08;1117,45;-0,48
21;300min (5h);939;809075,0;260,49;45,85;814,66;-978,32;-958,08;1117,45;-0,48
21;360min (6h);939;809075,0;260,49;45,85;814,66;-978,32;-958,08;1117,45;-0,48
21;480min (8h);939;809075,0;260,49;45,85;814,66;-978,32;-958,08;1117,45;-0,48
21;5min;939;43940,0;-81,16;37,14;261,24;-335,98;-466,35;335,39;-0,26
21;60min (1h);939;500440,0;109,66;46,02;683,45;-853,33;-933,44;972,98;-0,71
21;EOD;939;809075,0;260,49;45,85;814,66;-978,32;-958,08;1117,45;-0,48
22;120min (2h);782;37335,0;-40,66;36,21;294,08;-397,78;-523,79;440,17;-0,77
22;15min;782;-39205,0;-106,1;36,05;182,16;-299,62;-390,86;278,88;-0,48
22;180min (3h);782;37335,0;-40,66;36,21;294,08;-397,78;-523,79;440,17;-0,77
22;1min;782;340,0;-9,94;40,36;96,92;-89,57;-164,55;136,36;-0,06
22;240min (4h);782;37335,0;-40,66;36,21;294,08;-397,78;-523,79;440,17;-0,77
22;300min (5h);782;37335,0;-40,66;36,21;294,08;-397,78;-523,79;440,17;-0,77
22;360min (6h);782;37335,0;-40,66;36,21;294,08;-397,78;-523,79;440,17;-0,77
22;480min (8h);782;37335,0;-40,66;36,21;294,08;-397,78;-523,79;440,17;-0,77
22;5min;782;-8615,0;-43,2;38,94;180,92;-191,99;-264,46;213,29;-0,12
22;60min (1h);782;37335,0;-40,66;36,21;294,08;-397,78;-523,79;440,17;-0,77
22;EOD;782;37335,0;-40,66;36,21;294,08;-397,78;-523,79;440,17;-0,77
23;120min (2h);49;-14040,0;-279,35;0,0;0,0;-279,35;-726,85;262,13;-1,94
23;15min;49;-6275,0;-165,88;24,82;116,43;-253,33;-553,72;253,46;-0,85
23;180min (3h);49;-14040,0;-279,35;0,0;0,0;-279,35;-726,85;262,13;-1,94
23;1min;49;-865,0;-21,37;44,03;96,0;-110,94;-166,56;157,13;-0,14
23;240min (4h);49;-14040,0;-279,35;0,0;0,0;-279,35;-726,85;262,13;-1,94
23;300min (5h);49;-14040,0;-279,35;0,0;0,0;-279,35;-726,85;262,13;-1,94
23;360min (6h);49;-14040,0;-279,35;0,0;0,0;-279,35;-726,85;262,13;-1,94
23;480min (8h);49;-14040,0;-279,35;0,0;0,0;-279,35;-726,85;262,13;-1,94
23;5min;49;-6670,0;-183,7;38,14;152,17;-350,56;-369,97;194,82;-0,46
23;60min (1h);49;-14040,0;-279,35;0,0;0,0;-279,35;-726,85;262,13;-1,94
23;EOD;49;-14040,0;-279,35;0,0;0,0;-279,35;-726,85;262,13;-1,94
